127.0.0.1 - - [22/Dec/2020:09:53:04 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Dec/2020:09:53:05 +0900] "GET /StudyCafe_2/common/common.jsp HTTP/1.1" 200 2970
0:0:0:0:0:0:0:1 - - [22/Dec/2020:09:53:05 +0900] "GET /StudyCafe_2/css/bootstrap.min.css HTTP/1.1" 200 99964
0:0:0:0:0:0:0:1 - - [22/Dec/2020:09:53:05 +0900] "GET /StudyCafe_2/css/style.css HTTP/1.1" 200 12610
0:0:0:0:0:0:0:1 - - [22/Dec/2020:09:53:05 +0900] "GET /StudyCafe_2/images/9_logo.png HTTP/1.1" 200 5707
0:0:0:0:0:0:0:1 - - [22/Dec/2020:09:53:05 +0900] "GET /StudyCafe_2/common/js/bootstrap.min.js HTTP/1.1" 404 857
0:0:0:0:0:0:0:1 - - [22/Dec/2020:09:53:05 +0900] "GET /StudyCafe_2/common/js/theme-scripts.js HTTP/1.1" 404 857
0:0:0:0:0:0:0:1 - - [22/Dec/2020:09:53:05 +0900] "GET /StudyCafe_2/common/js/SmoothScroll.js HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [22/Dec/2020:09:57:12 +0900] "GET /StudyCafe_2/start.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2020:09:57:15 +0900] "GET /StudyCafe_2/studycafe?command=main HTTP/1.1" 200 14390
0:0:0:0:0:0:0:1 - - [22/Dec/2020:09:57:15 +0900] "GET /StudyCafe_2/js/SmoothScroll.js HTTP/1.1" 200 14317
0:0:0:0:0:0:0:1 - - [22/Dec/2020:09:57:15 +0900] "GET /StudyCafe_2/js/theme-scripts.js HTTP/1.1" 200 1030
0:0:0:0:0:0:0:1 - - [22/Dec/2020:09:57:15 +0900] "GET /StudyCafe_2/images/demo/main01.jpg HTTP/1.1" 200 418084
0:0:0:0:0:0:0:1 - - [22/Dec/2020:09:57:15 +0900] "GET /StudyCafe_2/images/demo/main02.jpg HTTP/1.1" 200 652792
0:0:0:0:0:0:0:1 - - [22/Dec/2020:09:57:15 +0900] "GET /StudyCafe_2/images/demo/main03.jpg HTTP/1.1" 200 715528
