127.0.0.1 - - [26/Mar/2021:12:40:26 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Mar/2021:12:40:28 +0900] "GET /StudyCafe_2/start.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Mar/2021:12:40:28 +0900] "GET /StudyCafe_2/studycafe?command=main HTTP/1.1" 200 13403
0:0:0:0:0:0:0:1 - - [26/Mar/2021:12:40:28 +0900] "GET /StudyCafe_2/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2021:12:40:28 +0900] "GET /StudyCafe_2/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2021:12:40:28 +0900] "GET /StudyCafe_2/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2021:12:40:28 +0900] "GET /StudyCafe_2/js/SmoothScroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2021:12:40:28 +0900] "GET /StudyCafe_2/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2021:12:40:28 +0900] "GET /StudyCafe_2/js/theme-scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2021:12:40:28 +0900] "GET /StudyCafe_2/images/demo/main02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2021:12:40:28 +0900] "GET /StudyCafe_2/images/demo/main01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2021:12:40:28 +0900] "GET /StudyCafe_2/images/demo/branch02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2021:12:40:28 +0900] "GET /StudyCafe_2/images/demo/branch01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2021:12:40:28 +0900] "GET /StudyCafe_2/images/demo/branch03.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2021:16:08:12 +0900] "GET /StudyCafe_2/studycafe?command=main HTTP/1.1" 200 13403
0:0:0:0:0:0:0:1 - - [26/Mar/2021:16:08:13 +0900] "GET /StudyCafe_2/favicon.ico HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [26/Mar/2021:16:09:05 +0900] "GET /StudyCafe_2/studycafe?command=meInsert HTTP/1.1" 200 28913
