127.0.0.1 - - [20/Apr/2021:10:59:45 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Apr/2021:10:59:47 +0900] "GET /StudyCafe_2/start.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Apr/2021:10:59:47 +0900] "GET /StudyCafe_2/studycafe?command=main HTTP/1.1" 200 13403
0:0:0:0:0:0:0:1 - - [20/Apr/2021:10:59:47 +0900] "GET /StudyCafe_2/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2021:10:59:47 +0900] "GET /StudyCafe_2/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2021:10:59:47 +0900] "GET /StudyCafe_2/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2021:10:59:47 +0900] "GET /StudyCafe_2/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2021:10:59:47 +0900] "GET /StudyCafe_2/js/SmoothScroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2021:10:59:47 +0900] "GET /StudyCafe_2/js/theme-scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2021:10:59:47 +0900] "GET /StudyCafe_2/images/demo/main01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2021:10:59:47 +0900] "GET /StudyCafe_2/images/demo/main02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2021:10:59:47 +0900] "GET /StudyCafe_2/images/demo/branch01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2021:10:59:47 +0900] "GET /StudyCafe_2/images/demo/branch02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2021:10:59:47 +0900] "GET /StudyCafe_2/images/demo/branch03.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2021:10:59:59 +0900] "GET /StudyCafe_2/studycafe?command=main HTTP/1.1" 200 13403
0:0:0:0:0:0:0:1 - - [20/Apr/2021:11:00:00 +0900] "GET /StudyCafe_2/favicon.ico HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [20/Apr/2021:11:00:01 +0900] "GET /StudyCafe_2/studycafe?command=meLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Apr/2021:11:00:01 +0900] "GET /StudyCafe_2/member/meLoginForm.jsp HTTP/1.1" 200 10053
0:0:0:0:0:0:0:1 - - [20/Apr/2021:11:00:01 +0900] "GET /StudyCafe_2/member/js/bootstrap.min.js HTTP/1.1" 404 857
0:0:0:0:0:0:0:1 - - [20/Apr/2021:11:00:01 +0900] "GET /StudyCafe_2/member/js/SmoothScroll.js HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [20/Apr/2021:11:00:01 +0900] "GET /StudyCafe_2/member/js/theme-scripts.js HTTP/1.1" 404 857
0:0:0:0:0:0:0:1 - - [20/Apr/2021:11:00:01 +0900] "GET /StudyCafe_2/member/js/bootstrap.min.js HTTP/1.1" 404 857
0:0:0:0:0:0:0:1 - - [20/Apr/2021:11:00:01 +0900] "GET /StudyCafe_2/member/js/SmoothScroll.js HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [20/Apr/2021:11:00:01 +0900] "GET /StudyCafe_2/member/js/theme-scripts.js HTTP/1.1" 404 857
