127.0.0.1 - - [11/Feb/2021:17:49:35 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Feb/2021:17:49:50 +0900] "GET /mycafe/start.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Feb/2021:17:49:52 +0900] "GET /mycafe/main.co HTTP/1.1" 200 12454
0:0:0:0:0:0:0:1 - - [11/Feb/2021:17:49:52 +0900] "GET /mycafe/css/core-style.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [11/Feb/2021:17:49:52 +0900] "GET /mycafe/style.css HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [11/Feb/2021:17:49:52 +0900] "GET /mycafe/img/core-img/search.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [11/Feb/2021:17:49:52 +0900] "GET /mycafe/js/jquery/jquery-2.2.4.min.js HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [11/Feb/2021:17:49:52 +0900] "GET /mycafe/js/popper.min.js HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [11/Feb/2021:17:49:52 +0900] "GET /mycafe/js/bootstrap.min.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [11/Feb/2021:17:49:52 +0900] "GET /mycafe/js/plugins.js HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [11/Feb/2021:17:49:52 +0900] "GET /mycafe/js/active.js HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [11/Feb/2021:17:49:52 +0900] "GET /mycafe/img/core-img/logo.png HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [11/Feb/2021:17:49:52 +0900] "GET /mycafe/img/core-img/cart.png HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [11/Feb/2021:17:49:52 +0900] "GET /mycafe/img/core-img/favorites.png HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [11/Feb/2021:17:49:52 +0900] "GET /mycafe/img/core-img/logo2.png HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [11/Feb/2021:17:50:38 +0900] "GET /mycafe/main.co HTTP/1.1" 200 12417
0:0:0:0:0:0:0:1 - - [11/Feb/2021:17:50:38 +0900] "GET /mycafe/css/core-style.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [11/Feb/2021:17:50:38 +0900] "GET /mycafe/style.css HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [11/Feb/2021:17:50:38 +0900] "GET /mycafe/img/core-img/search.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [11/Feb/2021:17:50:38 +0900] "GET /mycafe/img/core-img/logo.png HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [11/Feb/2021:17:50:38 +0900] "GET /mycafe/img/core-img/cart.png HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [11/Feb/2021:17:50:38 +0900] "GET /mycafe/js/jquery/jquery-2.2.4.min.js HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [11/Feb/2021:17:50:38 +0900] "GET /mycafe/img/core-img/favorites.png HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [11/Feb/2021:17:50:38 +0900] "GET /mycafe/img/core-img/logo2.png HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [11/Feb/2021:17:50:38 +0900] "GET /mycafe/js/popper.min.js HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [11/Feb/2021:17:50:38 +0900] "GET /mycafe/js/bootstrap.min.js HTTP/1.1" 404 841
