127.0.0.1 - - [22/Apr/2021:11:14:57 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Apr/2021:11:15:00 +0900] "GET /start.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Apr/2021:11:15:04 +0900] "GET /main.co HTTP/1.1" 200 17450
0:0:0:0:0:0:0:1 - - [22/Apr/2021:11:15:04 +0900] "GET /css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2021:11:15:04 +0900] "GET /css/ionicons.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2021:11:15:04 +0900] "GET /css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2021:11:15:04 +0900] "GET /css/slider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2021:11:15:04 +0900] "GET /css/owl.carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2021:11:15:04 +0900] "GET /css/owl.theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2021:11:15:04 +0900] "GET /css/jquery.fancybox.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2021:11:15:04 +0900] "GET /css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2021:11:15:04 +0900] "GET /css/responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2021:11:15:04 +0900] "GET /js/vendor/modernizr-2.6.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2021:11:15:04 +0900] "GET /js/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2021:11:15:04 +0900] "GET /js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2021:11:15:04 +0900] "GET /js/wow.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2021:11:15:04 +0900] "GET /js/slider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2021:11:15:04 +0900] "GET /js/jquery.fancybox.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2021:11:15:04 +0900] "GET /js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2021:11:15:04 +0900] "GET /css/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2021:11:15:04 +0900] "GET /css/default.date.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2021:11:15:04 +0900] "GET /css/default.time.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2021:11:15:04 +0900] "GET /js/picker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2021:11:15:04 +0900] "GET /js/picker.date.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2021:11:15:04 +0900] "GET /js/picker.time.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2021:11:15:04 +0900] "GET /images/coffeelogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2021:11:15:04 +0900] "GET /upload/guatemala.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2021:11:15:04 +0900] "GET /upload/kenya.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2021:11:15:04 +0900] "GET /upload/costarica.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2021:11:15:04 +0900] "GET /upload/%EC%9B%90%EB%8D%B0%EC%9D%B4%20%ED%81%B4%EB%9E%98%EC%8A%A4%208-1.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2021:11:15:04 +0900] "GET /upload/%EC%9B%90%EB%8D%B0%EC%9D%B4%20%ED%81%B4%EB%9E%98%EC%8A%A4%207-1.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2021:11:15:04 +0900] "GET /upload/%EC%9B%90%EB%8D%B0%EC%9D%B4%20%ED%81%B4%EB%9E%98%EC%8A%A4%206-1.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2021:11:15:06 +0900] "GET /images/slider.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2021:11:15:12 +0900] "GET /main.co HTTP/1.1" 200 17450
